,Title,Artist,Weeks on chart,year,Spotify_Popularity,Artist_Popularity,track_id,track_title,track_artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,tempo,mode,genre
21709,Meant To Live,Switchfoot,2.0,2004,52,64,79cAPxneo5AvbNgR6ch3Cj,Meant to Live,Switchfoot,0.396,0.905,2.0,-3.948,0.0467,0.00415,0.0,0.42,0.514,199813.0,4.0,151.503,1.0,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'post-grunge', 'worship']"
21711,Good Little Girls,Blue County,2.0,2004,20,14,0Y6dPRfSOVgLzKpn7L741h,Good Little Girls,Blue County,0.6679999999999999,0.8079999999999999,2.0,-5.26,0.0384,0.0193,0.0,0.0294,0.778,181800.0,3.0,122.001,1.0,['country road']
21715,Redneck Woman,Gretchen Wilson,4.0,2004,50,54,5pQtfVIaQvINzl0XIGKNrC,Redneck Woman,Gretchen Wilson,0.51,0.847,11.0,-4.622,0.087,0.105,0.0,0.691,0.74,215920.0,4.0,184.942,1.0,"['contemporary country', 'country', 'country dawn', 'country road']"
21718,Leave (Get Out),JoJo,4.0,2004,-1,67,6nIcGJK6Pj1ThzC6r8O8hA,Leave (Get Out) - 2018,JoJo,0.491,0.73,2.0,-4.399,0.0432,0.039,0.0,0.11199999999999999,0.461,239560.0,4.0,87.098,0.0,"['dance pop', 'electropop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
21724,Dip It Low,Christina Milian,9.0,2004,52,55,4L55p6txv9vuCWhpNnY6eY,Dip It Low,Christina Milian,0.7909999999999999,0.725,11.0,-4.244,0.076,0.0111,0.00019099999999999998,0.0882,0.5539999999999999,201000.0,4.0,84.57,0.0,"['dance pop', 'europop', 'hip pop', 'post-teen pop', 'r&b', 'urban contemporary']"
21725,Tear It Up,"Yung Wun Featuring DMX, Lil' Flip & David Banner",17.0,2004,-1,-1,6ZVgihnlm0dfgix1ZB0FJ6,Tear It Up - Dirty,Yung Wun,0.6779999999999999,0.94,4.0,-3.1439999999999997,0.32799999999999996,0.171,0.0,0.33799999999999997,0.643,205027.0,4.0,180.92,0.0,['atl hip hop']
21730,Love Song,311,7.0,2004,57,64,3mtukCAgd0mE260QcBfXAX,Love Song,311,0.625,0.6859999999999999,9.0,-8.337,0.0309,0.0154,0.0499,0.0932,0.556,211693.0,4.0,139.817,0.0,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'reggae fusion', 'rock']"
21731,Move Ya Body,Nina Sky Featuring Jabba,7.0,2004,50,38,5fXWcDrcJe85rolTOxDrC1,Move Ya Body - Vybz Kartel Remix,Nina Sky featuring Jabba,0.898,0.7440000000000001,11.0,-5.062,0.12,0.152,0.0,0.156,0.9009999999999999,258733.0,4.0,120.979,0.0,[]
21732,Last Train Home,Lostprophets,3.0,2004,45,50,3uCdOt70LDcVQCG8IKh9Ag,Last Train Home,lostprophets,0.483,0.787,4.0,-5.01,0.0301,0.0007030000000000001,3.35e-06,0.257,0.185,275173.0,4.0,102.374,0.0,[]
21743,Slither,Velvet Revolver,4.0,2004,60,58,7kF1iPJTj3VFJX9XokQ80F,Slither,Velvet Revolver,0.478,0.9740000000000001,7.0,-3.866,0.102,0.000266,0.0984,0.0738,0.268,248307.0,4.0,141.077,1.0,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']"
21744,On Fire,Lloyd Banks,4.0,2004,59,66,0B2ZuTLZnWQ6gz8RlNwBu1,On Fire,Lloyd Banks,0.69,0.8270000000000001,8.0,-4.263999999999999,0.23199999999999998,0.10400000000000001,0.0008300000000000001,0.27399999999999997,0.445,187280.0,4.0,94.859,1.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
21745,Heaven,Los Lonely Boys,2.0,2004,50,48,2mQ1RBK7s87mdPCzh97RSH,Heaven,Los Lonely Boys,0.664,0.862,6.0,-5.403,0.0679,0.37799999999999995,4.19e-06,0.0824,0.782,227347.0,4.0,91.91,1.0,[]
21747,Ocean Avenue,Yellowcard,3.0,2004,69,65,23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue,Yellowcard,0.486,0.904,6.0,-3.7510000000000003,0.0638,3.43e-05,2.8300000000000003e-05,0.0947,0.7859999999999999,198267.0,4.0,173.734,0.0,"['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']"
21754,Scandalous,Mis-Teeq,5.0,2004,55,47,3stnrhzN0lzZFskbaZ5sEw,Scandalous - U.S. Radio Edit,Mis-Teeq,0.7340000000000001,0.6679999999999999,0.0,-3.935,0.0349,0.0526,0.0,0.0925,0.6509999999999999,238840.0,4.0,99.971,0.0,"['europop', 'girl group', 'uk garage']"
21755,Turn Me On,Kevin Lyttle Featuring Spragga Benz,18.0,2004,-1,-1,0RmXtDH1cBMGImRrmn5xL6,Turn Me On,Kevin Lyttle,0.677,0.682,9.0,-6.879,0.0361,0.0405,0.0,0.0351,0.875,192107.0,4.0,106.279,1.0,['soca']
21762,This Way,Dilated Peoples Featuring Kanye West,2.0,2004,-1,-1,1unbLw4cvR8za4YpHFWcN7,This Way,Dilated Peoples,0.51,0.863,4.0,-4.56,0.402,0.155,2.93e-06,0.375,0.628,245827.0,4.0,85.599,0.0,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'turntablism', 'west coast rap']"
21763,Float On,Modest Mouse,2.0,2004,70,68,2lwwrWVKdf3LR9lbbhnr6R,Float On,Modest Mouse,0.649,0.888,6.0,-4.8069999999999995,0.0293,0.013000000000000001,2.23e-06,0.0888,0.5529999999999999,208467.0,4.0,100.975,1.0,"['alternative rock', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'pop rock', 'stomp and holler', 'washington indie']"
21770,Hole In The Head,Sugababes,19.0,2004,12,65,4KVNqK5oXi3dCrIszi3rcE,Hole In The Head,Sugababes,0.7909999999999999,0.9279999999999999,6.0,-5.0569999999999995,0.0314,0.0338,0.0,0.20600000000000002,0.956,218173.0,4.0,125.0,0.0,"['australian pop', 'bubblegum dance', 'dance pop', 'europop', 'girl group', 'neo soul', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']"
21776,Lean Back,Terror Squad,3.0,2004,64,55,2Ozc0me9PV5vlt8cokwdvI,Lean Back,Terror Squad,0.698,0.922,1.0,-3.359,0.517,0.129,0.0,0.106,0.691,247427.0,5.0,126.594,1.0,['hardcore hip hop']
21783,Pieces Of Me,Ashlee Simpson,3.0,2004,53,52,7yXibbAYi4to5oQTeO738f,Pieces Of Me,Ashlee Simpson,0.5,0.802,2.0,-4.205,0.10400000000000001,0.0535,0.0,0.10300000000000001,0.7390000000000001,217440.0,4.0,174.039,1.0,"['dance pop', 'pop rock', 'post-teen pop']"
21787,I Want To Live,Josh Gracin,2.0,2004,24,52,1ARIvWVqjjUfyRnCpKA3tP,I Want To Live,Josh Gracin,0.44799999999999995,0.667,6.0,-4.343999999999999,0.0345,0.226,0.0,0.228,0.451,238080.0,4.0,159.887,1.0,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
21789,Take Me Out,Franz Ferdinand,nan,2004,74,70,6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand,0.278,0.6759999999999999,9.0,-8.821,0.0371,0.00042300000000000004,0.0008990000000000001,0.136,0.494,237027.0,4.0,104.545,1.0,"['alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']"
21790,I Believe,Fantasia,1.0,2004,39,61,2zZJnAlhgvW6DERn1tu3fb,I Believe,Fantasia,0.525,0.446,8.0,-8.797,0.0308,0.35700000000000004,0.0,0.161,0.134,302027.0,4.0,133.865,1.0,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
21796,Dreams,Diana DeGarmo,9.0,2004,8,15,6INtJV1n87U8sigSq9c3eF,Dreams,Diana DeGarmo,0.551,0.617,10.0,-5.709,0.0312,0.358,0.0,0.131,0.292,229160.0,4.0,128.19,1.0,['idol']
21798,No Problem,Lil Scrappy,16.0,2004,-1,57,0EgigrGFGb4PHaVNb7fgK7,No Problem,Lil Scrappy,0.858,0.731,1.0,-7.224,0.237,0.053,0.0,0.15,0.139,214213.0,4.0,85.984,1.0,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'wrestling']"
21800,Break Down Here,Julie Roberts,4.0,2004,48,40,1xsGrsVJwG9zel8pefzVeo,Break Down Here,Julie Roberts,0.6409999999999999,0.485,1.0,-8.127,0.0328,0.142,0.0,0.0997,0.22899999999999998,245493.0,4.0,126.103,1.0,"['contemporary country', 'country', 'country dawn']"
21802,One Thing,Finger Eleven,3.0,2004,53,58,2BepFzUWfczDk68DXj10w3,One Thing,Finger Eleven,0.593,0.5539999999999999,1.0,-9.286,0.0336,0.47600000000000003,0.0,0.0804,0.489,279573.0,4.0,151.953,1.0,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge', 'rap rock', 'wrestling']"
21805,Let Me In,Young Buck,6.0,2004,46,64,6qkZ6D3ogNyW2YDWsz7e3z,Let Me In,Young Buck,0.5489999999999999,0.885,1.0,-4.428999999999999,0.39,0.124,0.0,0.0427,0.649,224253.0,4.0,91.551,0.0,"['crunk', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
21808,Let's Get It Started,The Black Eyed Peas,5.0,2004,-1,79,1WK1kOPj4qFOPOHq4Xe4IP,Let’s Get It Started,The Hit Nation,0.866,0.784,2.0,-5.48,0.0414,0.0492,0.0,0.066,0.795,193794.0,4.0,104.989,1.0,[]
21816,On The Way Down,Ryan Cabrera,2.0,2004,46,51,1GwVi2ceNb8dMFA3DZGnnY,On the Way Down,Ryan Cabrera,0.5,0.845,1.0,-5.015,0.0369,0.0018399999999999998,0.0,0.106,0.539,212045.0,4.0,95.199,1.0,"['neo mellow', 'pop rock']"
21818,Cold,Crossfade,14.0,2004,65,59,6ZxrUCaynLgKSUudACOTwj,Cold,Crossfade,0.451,0.815,2.0,-5.55,0.0368,6.0599999999999996e-05,0.0,0.27,0.618,194227.0,4.0,147.974,0.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']"
21826,American Idiot,Green Day,4.0,2004,75,82,6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day,0.38,0.988,1.0,-2.042,0.0639,2.64e-05,7.859999999999999e-05,0.368,0.769,176346.0,4.0,186.113,1.0,"['permanent wave', 'pop punk', 'punk', 'rock']"
21827,Knuck If You Buck,Crime Mob Featuring Lil Scrappy,2.0,2004,-1,-1,0RZXNlGPvfMo54fd6uCvAT,Knuck If You Buck (feat. Lil' Scrappy),Crime Mob,0.865,0.8440000000000001,8.0,-4.946000000000001,0.311,0.0582,0.0,0.373,0.755,205120.0,4.0,150.09,1.0,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
21831,Nolia Clap,"Juvenile, Wacko & Skip",5.0,2004,38,27,7pWcjb71SqY2256QasmAhJ,Nolia Clap,"Juvenile, Wacko, & Skip",0.838,0.9420000000000001,5.0,-2.353,0.395,0.0718,0.0,0.142,0.961,270333.0,4.0,79.935,1.0,[]
21839,Charlene,Anthony Hamilton,11.0,2004,59,65,0xiuSFBOEHWaJ6rSuUbJWc,Charlene,Anthony Hamilton,0.556,0.34600000000000003,0.0,-9.809,0.311,0.536,0.0,0.106,0.451,246773.0,4.0,123.869,0.0,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
21840,Somebody Told Me,The Killers,15.0,2004,68,80,7HGTkn2aX7MNdKs7nV2xBt,Somebody Told Me,The Killers,0.5,0.975,10.0,-3.176,0.0824,0.000123,0.000379,0.10400000000000001,0.767,197160.0,4.0,138.005,0.0,"['indie rock', 'modern rock', 'permanent wave', 'rock']"
